,tc,buf_size,model_x,time_x,idx,count_x,fperf,model_y,time_y,count_y,ours,diff,better,per
0,fq,10,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,6.499999999999998,8001,127,6.499999999999998,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,692.463,127,692.463,-685.9630000000005,0,0.0
1,fq,20,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,11.833000000000002,7381,122,11.833000000000002,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,640.9809999999998,122,640.9809999999998,-629.1480000000004,0,0.0
2,fq,25,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,14.691000000000008,7021,119,14.691000000000008,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,596.4660000000002,119,596.4660000000002,-581.775,0,0.0
3,fq,30,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,10.877000000000002,741,39,10.877000000000002,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,150.18399999999997,39,150.18399999999997,-139.307,0,0.0
4,fq,40,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,70.60400000000003,41905,290,70.60400000000003,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,1389.846000000001,290,1389.846000000001,-1319.2420000000002,0,0.0
5,fq,50,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,76.36099999999999,27028,233,76.36099999999999,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,1017.8779999999995,233,1017.8779999999995,-941.5169999999999,6,0.02575107296137339
6,fq,75,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,66.36800000000001,6786,117,66.36800000000001,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,563.7069999999998,117,563.7069999999998,-497.33900000000017,1,0.008547008547008548
7,fq,100,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,98.31800000000004,10153,143,98.31800000000004,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,703.5600000000003,143,703.5600000000003,-605.2420000000001,4,0.027972027972027972
8,fq,125,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,800.2459999999992,31626,252,800.2459999999992,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,980.0780000000003,252,980.0780000000003,-179.83199999999997,81,0.32142857142857145
9,fq,150,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,576.0100000000001,22791,214,576.0100000000001,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,907.9279999999995,214,907.9279999999995,-331.918,18,0.08411214953271028
10,fq,175,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,160.084,3570,85,160.084,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,380.858,85,380.858,-220.77399999999994,4,0.047058823529411764
11,fq,200,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,171.37099999999995,3081,79,171.37099999999995,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,373.077,79,373.077,-201.70600000000002,4,0.05063291139240506
12,fq,300,fperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperffperf,5344.257000000002,188191,614,5344.257000000002,OursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOursOurs,2592.0589999999993,614,2592.0589999999993,2752.198,608,0.990228013029316
